,Company Name,Industry,Symbol,Series,ISIN Code
0,360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
1,3M India Ltd.,Diversified,3MINDIA,EQ,INE470A01017
2,ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
3,ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
4,AIA Engineering Ltd.,Capital Goods,AIAENG,EQ,INE212H01026
5,APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
6,AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
7,Aadhar Housing Finance Ltd.,Financial Services,AADHARHFC,EQ,INE883F01010
8,Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
9,Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012
10,Abbott India Ltd.,Healthcare,ABBOTINDIA,EQ,INE358A01014
11,Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025
12,Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
13,Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
14,Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
15,Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
16,Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01011
17,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023
18,Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024
19,Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
20,Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011
21,Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016
22,Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024
23,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025
24,Affle (India) Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
25,Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
26,Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018
27,Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
28,Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039
29,Alok Industries Ltd.,Textiles,ALOKINDS,EQ,INE270A01029
30,Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
31,Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
32,Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
33,Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
34,Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024
35,Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
36,Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
37,Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
38,Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022
39,Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025
40,Archean Chemical Industries Ltd.,Chemicals,ACI,EQ,INE128X01021
41,Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020
42,Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
43,Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
44,Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
45,AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020
46,Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
47,Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010
48,Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
49,Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038
50,Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
51,Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
52,BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013
53,BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016
54,BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
