,Company Name,Industry,Symbol,Series,ISIN Code
106,Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
107,KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
108,Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
109,Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028
110,L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
111,L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
112,LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
113,LTIMindtree Ltd.,Information Technology,LTIM,EQ,INE214T01019
114,Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
115,Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
116,Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017
117,Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
118,MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
119,Macrotech Developers Ltd.,Realty,LODHA,EQ,INE670K01029
120,Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024
121,Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
122,Mankind Pharma Ltd.,Healthcare,MANKIND,EQ,INE634S01028
123,Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
124,Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
125,Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
126,Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,EQ,INE027H01010
127,Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01012
128,MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
129,NHPC Ltd.,Power,NHPC,EQ,INE848E01016
130,NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
131,NTPC Ltd.,Power,NTPC,EQ,INE733E01010
132,Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024
133,Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
134,Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
135,Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
136,One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
137,Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
138,PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
139,PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
140,Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
141,Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,EQ,INE619A01035
142,Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
143,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014
144,Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026
145,Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024
146,Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
147,Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022
148,Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
149,Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
150,Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
151,Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
152,REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
153,Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
154,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
155,SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016
156,SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016
157,SJVN Ltd.,Power,SJVN,EQ,INE002L01015
158,SRF Ltd.,Chemicals,SRF,EQ,INE647A01010
159,Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
160,Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015
161,Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01013
162,Siemens Ltd.,Capital Goods,SIEMENS,EQ,INE003A01024
163,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018
164,State Bank of India,Financial Services,SBIN,EQ,INE062A01020
165,Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
166,Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036
167,Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027
168,Supreme Industries Ltd.,Capital Goods,SUPREMEIND,EQ,INE195A01028
169,Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
170,Syngene International Ltd.,Healthcare,SYNGENE,EQ,INE398R01022
171,TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
172,Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019
173,Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
174,Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
175,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025
176,Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
177,Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
178,Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
179,Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
180,Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
181,Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
182,Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
183,Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
184,Torrent Power Ltd.,Power,TORNTPOWER,EQ,INE813H01021
185,Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
186,Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010
187,UPL Ltd.,Chemicals,UPL,EQ,INE628A01036
188,UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011
189,Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
190,United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024
191,Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL,EQ,INE200M01021
192,Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
193,Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
194,Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
195,Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
196,Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035
197,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
198,Zomato Ltd.,Consumer Services,ZOMATO,EQ,INE758T01015
199,Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
