,Ticker,Sector,Industry,Market Cap,Company Name
0,ABB,Industrials,Electrical Equipment,898.43,ABB India Limited
1,3MINDIA,Diversified,Diversified,303.9,3M India Limited
2,360ONE,Financial Services,Finance,160.87,360 ONE WAM LIMITED
3,ACC,Commodities,Cement & Cement Products,331.8,ACC Limited
4,AIAENG,Industrials,Industrial Products,312.35,AIA Engineering Limited
5,AUBANK,Financial Services,Banks,491.33,AU Small Finance Bank Limited
6,APLAPOLLO,Industrials,Industrial Products,370.85,APL Apollo Tubes Limited
7,AARTIDRUGS,Healthcare,Pharmaceuticals & Biotechnology,41.13,Aarti Drugs Limited
8,AARTIIND,Commodities,Chemicals & Petrochemicals,182.27,Aarti Industries Limited
9,AAVAS,Financial Services,Finance,110.25,Aavas Financiers Limited
10,ABBOTINDIA,Healthcare,Pharmaceuticals & Biotechnology,309.87,Abbott India Limited
11,ADANIENT,Commodities,Metals & Minerals Trading,2546.25,Adani Enterprises Limited
12,ADANIGREEN,Utilities,Power,1520.43,Adani Green Energy Limited
13,ATGL,Energy,Gas,697.61,Adani Total Gas Limited
14,ADANIPOWER,Utilities,Power,934.92,Adani Power Limited
15,ADANIPORTS,Services,Transport Infrastructure,1542.99,Adani Ports and Special Economic Zone Limited
16,ADANITRANS,Utilities,Power,844.99,Adani Transmission Limited
17,AWL,Fast Moving Consumer Goods,Agricultural Food & other Products,525.07,Adani Wilmar Limited
18,ABFRL,Consumer Discretionary,Retailing,193.51,Aditya Birla Fashion and Retail Limited
19,ABCAPITAL,Financial Services,Finance,423.32,Aditya Birla Capital Limited
20,AEGISCHEM,Energy,Gas,111.42,Aegis Logistics Limited
21,AFFLE,Information Technology,IT - Services,144.43,Affle (India) Limited
22,AETHER,Commodities,Chemicals & Petrochemicals,140.54,Aether Industries Limited
23,AJANTPHARM,Healthcare,Pharmaceuticals & Biotechnology,184.2,Ajanta Pharma Limited
24,APLLTD,Healthcare,Pharmaceuticals & Biotechnology,118.77,Alembic Pharmaceuticals Limited
25,ALKEM,Healthcare,Pharmaceuticals & Biotechnology,400.54,Alkem Laboratories Limited
26,ALKYLAMINE,Commodities,Chemicals & Petrochemicals,133.21,Alkyl Amines Chemicals Limited
27,AMARAJABAT,Consumer Discretionary,Auto Components,108.47,Amara Raja Batteries Limited
28,AMBER,Consumer Discretionary,Consumer Durables,76.07,Amber Enterprises India Limited
29,AMBUJACEM,Commodities,Cement & Cement Products,845.49,Ambuja Cements Limited
30,ANGELONE,Financial Services,Capital Markets,135.98,Angel One Limited
31,APARINDS,Industrials,Electrical Equipment,122.08,Apar Industries Limited
32,ANURAS,Commodities,Chemicals & Petrochemicals,111.58,Anupam Rasayan India Limited
33,APOLLOHOSP,Healthcare,Healthcare Services,725.46,Apollo Hospitals Enterprise Limited
34,APOLLOTYRE,Consumer Discretionary,Auto Components,264.14,Apollo Tyres Limited
35,APTUS,Financial Services,Finance,121.83,Aptus Value Housing Finance India Limited
36,ASAHIINDIA,Consumer Discretionary,Auto Components,119.41,Asahi India Glass Limited
37,ACI,Commodities,Chemicals & Petrochemicals,65.85,Archean Chemical Industries Limited
38,ASHOKLEY,Industrials,Agricultural Commercial & Construction Vehicles,474.48,Ashok Leyland Limited
39,ASIANPAINT,Consumer Discretionary,Consumer Durables,3163.15,Asian Paints Limited
40,ASTERDM,Healthcare,Healthcare Services,140.09,Aster DM Healthcare Limited
41,ATUL,Commodities,Chemicals & Petrochemicals,205.56,Atul Limited
42,ASTRAL,Industrials,Industrial Products,526.61,Astral Limited
43,AUROPHARMA,Healthcare,Pharmaceuticals & Biotechnology,409.66,Aurobindo Pharma Limited
44,AVANTIFEED,Fast Moving Consumer Goods,Food Products,52.73,Avanti Feeds Limited
45,DMART,Consumer Discretionary,Retailing,2435.03,Avenue Supermarts Limited
46,AXISBANK,Financial Services,Banks,2951.37,Axis Bank Limited
47,BASF,Commodities,Chemicals & Petrochemicals,111.25,BASF India Limited
48,BEML,Industrials,Agricultural Commercial & Construction Vehicles,67.85,BEML Limited
49,BAJAJ-AUTO,Consumer Discretionary,Automobiles,1308.0,Bajaj Auto Limited
50,BLS,Consumer Discretionary,Leisure Services,79.8,BLS International Services Limited
51,BAJFINANCE,Financial Services,Finance,4235.16,Bajaj Finance Limited
52,BSE,Financial Services,Capital Markets,82.44,BSE Limited
53,BAJAJHLDNG,Financial Services,Finance,760.39,Bajaj Holdings & Investment Limited
54,BAJAJFINSV,Financial Services,Finance,2392.33,Bajaj Finserv Limited
55,BALKRISIND,Consumer Discretionary,Auto Components,463.39,Balkrishna Industries Limited
56,BALAMINES,Commodities,Chemicals & Petrochemicals,74.17,Balaji Amines Limited
57,BALRAMCHIN,Fast Moving Consumer Goods,Agricultural Food & other Products,78.81,Balrampur Chini Mills Limited
58,BANDHANBNK,Financial Services,Banks,379.76,Bandhan Bank Limited
59,BANKBARODA,Financial Services,Banks,993.94,Bank of Baroda
60,BANKINDIA,Financial Services,Banks,293.61,Bank of India
61,MAHABANK,Financial Services,Banks,192.26,Bank of Maharashtra
62,BATAINDIA,Consumer Discretionary,Consumer Durables,208.92,Bata India Limited
63,BAYERCROP,Commodities,Fertilizers & Agrochemicals,214.96,Bayer Cropscience Limited
64,BERGEPAINT,Consumer Discretionary,Consumer Durables,656.34,Berger Paints (I) Limited
65,BDL,Industrials,Aerospace & Defense,202.33,Bharat Dynamics Limited
66,BEL,Industrials,Aerospace & Defense,877.54,Bharat Electronics Limited
67,BHARATFORG,Industrials,Industrial Products,375.73,Bharat Forge Limited
68,BHEL,Industrials,Electrical Equipment,294.76,Bharat Heavy Electricals Limited
69,BPCL,Energy,Petroleum Products,780.06,Bharat Petroleum Corporation Limited
70,BHARTIARTL,Telecommunication,Telecom - Services,4770.33,Bharti Airtel Limited
71,BIKAJI,Fast Moving Consumer Goods,Food Products,106.49,Bikaji Foods International Limited
72,BIOCON,Healthcare,Pharmaceuticals & Biotechnology,284.42,Biocon Limited
73,BIRLACORPN,Commodities,Cement & Cement Products,94.37,Birla Corporation Limited
74,BSOFT,Information Technology,IT - Software,94.57,BIRLASOFT LIMITED
75,BLUEDART,Services,Transport Services,172.05,Blue Dart Express Limited
76,BLUESTARCO,Consumer Discretionary,Consumer Durables,151.38,Blue Star Limited
77,BBTC,Fast Moving Consumer Goods,Food Products,70.35,Bombay Burmah Trading Corporation Limited
78,BORORENEW,Industrials,Industrial Products,67.88,BOROSIL RENEWABLES LIMITED
79,BOSCHLTD,Consumer Discretionary,Auto Components,549.08,Bosch Limited
80,BRIGADE,Consumer Discretionary,Realty,130.5,Brigade Enterprises Limited
81,BCG,Information Technology,IT - Services,63.36,Brightcom Group Limited
82,BRITANNIA,Fast Moving Consumer Goods,Food Products,1197.31,Britannia Industries Limited
83,MAPMYINDIA,Information Technology,IT - Software,66.38,C.E. Info Systems Limited
84,CCL,Fast Moving Consumer Goods,Agricultural Food & other Products,84.89,CCL Products (India) Limited
85,CESC,Utilities,Power,95.31,CESC Limited
86,CGPOWER,Industrials,Electrical Equipment,563.23,CG Power and Industrial Solutions Limited
87,CIEINDIA,Consumer Discretionary,Auto Components,194.71,CIE Automotive India Limited
88,CRISIL,Financial Services,Finance,276.54,CRISIL Limited
89,CSBBANK,Financial Services,Banks,46.85,CSB Bank Limited
90,CAMPUS,Consumer Discretionary,Consumer Durables,95.96,Campus Activewear Limited
91,CANBK,Financial Services,Banks,537.71,Canara Bank
92,CANFINHOME,Financial Services,Finance,98.08,Can Fin Homes Limited
93,CGCL,Financial Services,Finance,151.29,Capri Global Capital Limited
94,CASTROLIND,Energy,Petroleum Products,119.04,Castrol India Limited
95,CEATLTD,Consumer Discretionary,Auto Components,80.91,CEAT Limited
96,CARBORUNIV,Industrials,Industrial Products,226.59,Carborundum Universal Limited
97,CENTRALBK,Financial Services,Banks,242.63,Central Bank of India
98,CDSL,Financial Services,Capital Markets,108.28,Central Depository Services (India) Limited
99,CENTURYTEX,Commodities,Paper Forest & Jute Products,89.21,Century Textiles & Industries Limited
100,CERA,Consumer Discretionary,Consumer Durables,99.68,Cera Sanitaryware Limited
101,CHALET,Consumer Discretionary,Leisure Services,83.52,Chalet Hotels Limited
102,CHEMPLASTS,Commodities,Chemicals & Petrochemicals,69.66,Chemplast Sanmar Limited
103,CHAMBLFERT,Commodities,Fertilizers & Agrochemicals,111.5,Chambal Fertilizers & Chemicals Limited
104,CENTURYPLY,Consumer Discretionary,Consumer Durables,136.16,Century Plyboards (India) Limited
105,CHOLAFIN,Financial Services,Finance,896.17,Cholamandalam Investment and Finance Company Limited
106,CUB,Financial Services,Banks,88.78,City Union Bank Limited
107,CIPLA,Healthcare,Pharmaceuticals & Biotechnology,798.67,Cipla Limited
108,CHOLAHLDNG,Financial Services,Finance,163.2,Cholamandalam Financial Holdings Limited
109,CLEAN,Commodities,Chemicals & Petrochemicals,143.07,Clean Science and Technology Limited
110,COCHINSHIP,Industrials,Industrial Manufacturing,75.25,Cochin Shipyard Limited
111,COALINDIA,Energy,Consumable Fuels,1392.16,Coal India Limited
112,COLPAL,Fast Moving Consumer Goods,Personal Products,443.72,Colgate Palmolive (India) Limited
113,COFORGE,Information Technology,IT - Software,274.9,Coforge Limited
114,CAMS,Financial Services,Capital Markets,105.71,Computer Age Management Services Limited
115,CONCOR,Services,Transport Services,391.41,Container Corporation of India Limited
116,CREDITACC,Financial Services,Finance,219.91,CREDITACCESS GRAMEEN LIMITED
117,CROMPTON,Consumer Discretionary,Consumer Durables,185.06,Crompton Greaves Consumer Electricals Limited
118,CRAFTSMAN,Consumer Discretionary,Auto Components,83.64,Craftsman Automation Limited
119,COROMANDEL,Commodities,Fertilizers & Agrochemicals,272.92,Coromandel International Limited
120,CUMMINSIND,Industrials,Industrial Products,511.91,Cummins India Limited
121,CYIENT,Information Technology,IT - Services,161.52,Cyient Limited
122,DCMSHRIRAM,Diversified,Diversified,143.06,DCM Shriram Limited
123,DLF,Consumer Discretionary,Realty,1182.46,DLF Limited
124,DABUR,Fast Moving Consumer Goods,Personal Products,998.28,Dabur India Limited
125,DATAPATTNS,Industrials,Aerospace & Defense,100.89,Data Patterns (India) Limited
126,DEEPAKFERT,Commodities,Chemicals & Petrochemicals,72.06,Deepak Fertilizers And Petrochemicals Corporation Limited
127,DALBHARAT,Commodities,Cement & Cement Products,406.34,Dalmia Bharat Limited
128,DEEPAKNTR,Commodities,Chemicals & Petrochemicals,301.66,Deepak Nitrite Limited
129,DELTACORP,Consumer Discretionary,Leisure Services,63.73,Delta Corp Limited
130,DEVYANI,Consumer Discretionary,Leisure Services,227.53,Devyani International Limited
131,DIVISLAB,Healthcare,Pharmaceuticals & Biotechnology,919.3,Divi's Laboratories Limited
132,DELHIVERY,Services,Transport Services,272.74,Delhivery Limited
133,DIXON,Consumer Discretionary,Consumer Durables,257.67,Dixon Technologies (India) Limited
134,LALPATHLAB,Healthcare,Healthcare Services,175.98,Dr. Lal Path Labs Ltd.
135,DRREDDY,Healthcare,Pharmaceuticals & Biotechnology,831.71,Dr. Reddy's Laboratories Limited
136,EIDPARRY,Commodities,Fertilizers & Agrochemicals,85.7,EID Parry India Limited
137,EPL,Industrials,Industrial Products,65.79,EPL Limited
138,EIHOTEL,Consumer Discretionary,Leisure Services,129.76,EIH Limited
139,EASEMYTRIP,Consumer Discretionary,Leisure Services,73.18,Easy Trip Planners Limited
140,EICHERMOT,Consumer Discretionary,Automobiles,968.53,Eicher Motors Limited
141,ELGIEQUIP,Industrials,Industrial Products,171.62,Elgi Equipments Limited
142,EMAMILTD,Fast Moving Consumer Goods,Personal Products,179.98,Emami Limited
143,EQUITASBNK,Financial Services,Banks,91.34,Equitas Small Finance Bank Limited
144,ENGINERSIN,Industrials,Construction,63.48,Engineers India Limited
145,ENDURANCE,Consumer Discretionary,Auto Components,222.44,Endurance Technologies Limited
146,ERIS,Healthcare,Pharmaceuticals & Biotechnology,90.5,Eris Lifesciences Limited
147,ESCORTS,Industrials,Agricultural Commercial & Construction Vehicles,284.45,Escorts Kubota Limited
148,FDC,Healthcare,Pharmaceuticals & Biotechnology,52.19,FDC Limited
149,EXIDEIND,Consumer Discretionary,Auto Components,197.62,Exide Industries Limited
150,NYKAA,Consumer Discretionary,Retailing,424.65,FSN E-Commerce Ventures Limited
151,FACT,Commodities,Fertilizers & Agrochemicals,268.96,Fertilizers and Chemicals Travancore Limited
152,FEDERALBNK,Financial Services,Banks,258.82,The Federal Bank  Limited
153,FINEORG,Commodities,Chemicals & Petrochemicals,148.01,Fine Organic Industries Limited
154,FINCABLES,Industrials,Industrial Products,124.22,Finolex Cables Limited
155,FINPIPE,Industrials,Industrial Products,108.77,Finolex Industries Limited
156,FIVESTAR,Financial Services,Finance,185.57,Five-Star Business Finance Limited
157,FSL,Services,Commercial Services & Supplies,88.55,Firstsource Solutions Limited
158,FORTIS,Healthcare,Healthcare Services,230.11,Fortis Healthcare Limited
159,GRINFRA,Industrials,Construction,124.46,G R Infraprojects Limited
160,GAIL,Energy,Gas,690.71,GAIL (India) Limited
161,GMMPFAUDLR,Industrials,Industrial Manufacturing,66.31,GMM Pfaudler Limited
162,GMRINFRA,Services,Transport Infrastructure,255.92,GMR Airports Infrastructure Limited
163,GARFIBRES,Consumer Discretionary,Textiles & Apparels,63.78,Garware Technical Fibres Limited
164,GICRE,Financial Services,Insurance,315.0,General Insurance Corporation of India
165,GALAXYSURF,Commodities,Chemicals & Petrochemicals,97.31,Galaxy Surfactants Limited
166,GLAND,Healthcare,Pharmaceuticals & Biotechnology,161.41,Gland Pharma Limited
167,GLENMARK,Healthcare,Pharmaceuticals & Biotechnology,178.61,Glenmark Pharmaceuticals Limited
168,GLAXO,Healthcare,Pharmaceuticals & Biotechnology,239.67,GlaxoSmithKline Pharmaceuticals Limited
169,MEDANTA,Healthcare,Healthcare Services,177.28,Global Health Limited
170,GOCOLORS,Consumer Discretionary,Retailing,61.54,Go Fashion (India) Limited
171,GODREJAGRO,Fast Moving Consumer Goods,Food Products,86.51,Godrej Agrovet Limited
172,GODFRYPHLP,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,87.21,Godfrey Phillips India Limited
173,GODREJCP,Fast Moving Consumer Goods,Personal Products,1059.47,Godrej Consumer Products Limited
