,Ticker,Sector,Industry,Market Cap,Company Name
252,JMFINANCIL,Financial Services,Finance,68.28,JM Financial Limited
253,JSWENERGY,Utilities,Power,429.92,JSW Energy Limited
254,JAMNAAUTO,Consumer Discretionary,Auto Components,39.9,Jamna Auto Industries Limited
255,JSWSTEEL,Commodities,Ferrous Metals,1804.46,JSW Steel Limited
256,JSL,Commodities,Ferrous Metals,267.41,Jindal Stainless Limited
257,JINDWORLD,Consumer Discretionary,Textiles & Apparels,64.72,Jindal Worldwide Limited
258,JINDALSTEL,Commodities,Ferrous Metals,580.28,Jindal Steel & Power Limited
259,JUBLFOOD,Consumer Discretionary,Leisure Services,315.97,Jubilant Foodworks Limited
260,JUBLPHARMA,Healthcare,Pharmaceuticals & Biotechnology,63.59,Jubilant Pharmova Limited
261,JUBLINGREA,Commodities,Chemicals & Petrochemicals,68.5,Jubilant Ingrevia Limited
262,JUSTDIAL,Consumer Discretionary,Retailing,62.32,Just Dial Limited
263,JYOTHYLAB,Fast Moving Consumer Goods,Household Products,77.79,Jyothy Labs Limited
264,KPRMILL,Consumer Discretionary,Textiles & Apparels,224.98,K.P.R. Mill Limited
265,KPITTECH,Information Technology,IT - Software,292.61,KPIT Technologies Limited
266,KNRCON,Industrials,Construction,67.06,KNR Constructions Limited
267,KEI,Industrials,Industrial Products,211.34,KEI Industries Limited
268,KRBL,Fast Moving Consumer Goods,Agricultural Food & other Products,80.8,KRBL Limited
269,KSB,Industrials,Industrial Products,76.11,Ksb Limited
270,KAJARIACER,Consumer Discretionary,Consumer Durables,201.01,Kajaria Ceramics Limited
271,KALYANKJIL,Consumer Discretionary,Consumer Durables,130.4,Kalyan Jewellers India Limited
272,KPIL,Industrials,Construction,84.67,Kalpataru Projects International Limited
273,KANSAINER,Consumer Discretionary,Consumer Durables,247.04,Kansai Nerolac Paints Limited
274,KARURVYSYA,Financial Services,Banks,96.47,Karur Vysya Bank Limited
275,RUSTOMJEE,Consumer Discretionary,Realty,62.75,Keystone Realtors Limited
276,KENNAMET,Industrials,Industrial Manufacturing,60.4,Kennametal India Limited
277,KFINTECH,Financial Services,Capital Markets,58.12,Kfin Technologies Limited
278,KEC,Industrials,Electrical Equipment,141.77,KEC International Limited
279,L&TFH,Financial Services,Finance,292.64,L&T Finance Holdings Limited
280,LTTS,Information Technology,IT - Services,403.19,L&T Technology Services Limited
281,KOTAKBANK,Financial Services,Banks,3632.63,Kotak Mahindra Bank Limited
282,KIMS,Healthcare,Healthcare Services,142.36,Krishna Institute of Medical Sciences Limited
283,LICHSGFIN,Financial Services,Finance,214.33,LIC Housing Finance Limited
284,LTIM,Information Technology,IT - Software,1466.6,LTIMindtree Limited
285,LT,Industrials,Construction,3358.69,Larsen & Toubro Limited
286,LATENTVIEW,Information Technology,IT - Software,70.46,Latent View Analytics Limited
287,LAXMIMACH,Industrials,Industrial Manufacturing,140.52,Lakshmi Machine Works Limited
288,LAURUSLABS,Healthcare,Pharmaceuticals & Biotechnology,188.88,Laurus Labs Limited
289,LXCHEM,Commodities,Chemicals & Petrochemicals,68.57,Laxmi Organic Industries Limited
290,LICI,Financial Services,Insurance,3952.81,Life Insurance Corporation Of India
