,Symbol,Negative,Neutral,Positive,Sentiment Score,MCap (Billion),Company Name,Sector,Industry
244,MHRIL,0.0,0.729,0.271,0.382,52.3,Mahindra Holidays & Resorts India Limited,XC - CODI,XC - HSP
245,MMTC,0.306,0.694,0.0,-0.296,51.07,MMTC Limited,XC - MTRL,XC - MTL
246,MOIL,0.0,1.0,0.0,0.0,34.38,MOIL Limited,XC - MTRL,XC - MTL
247,MOTHERSON,0.0,1.0,0.0,0.0,500.1,Samvardhana Motherson International Limited,XC - CODI,XC - ANC
248,MOTILALOFS,0.0,0.948,0.052,0.11,107.26,Motilal Oswal Financial Services Limited,XC - FNCL,XC - NFC
249,MPHASIS,0.0,0.934,0.066,0.11,398.8,MphasiS Limited,XC - INTH,XC - ITS
250,MRPL,0.204,0.796,0.0,-0.318,102.09,Mangalore Refinery and Petrochemicals Limited,XC - ENRG,XC - REF
251,MTARTECH,0.0,1.0,0.0,0.0,51.78,Mtar Technologies Limited,XC - INDS,XC - CAG
252,NATCOPHARM,0.0,1.0,0.0,0.0,97.05,Natco Pharma Limited,XC - HECA,XC - PHR
253,NAUKRI,0.0,1.0,0.0,0.0,481.4,Info Edge (India) Limited,XC - INTH,XC - INT
254,NAZARA,0.0,0.965,0.035,0.063,40.3,Nazara Technologies Limited,XC - INTH,XC - INT
255,NBCC,0.0,0.813,0.187,0.318,68.49,NBCC (India) Limited,XC - INDS,XC - CNS
256,NCC,0.0,0.956,0.044,0.057,57.73,NCC Limited,XC - INDS,XC - CNS
257,NETWORK18,0.0,1.0,0.0,0.0,64.49,Network18 Media & Investments Limited,XC - COSE,XC - MDA
258,NH,0.0,1.0,0.0,0.0,148.56,Narayana Hrudayalaya Ltd.,XC - HECA,XC - PHR
259,NHPC,0.0,1.0,0.0,0.0,436.96,NHPC Limited,XC - UTLT,XC - PGD
260,NIACL,0.0,0.745,0.255,0.34,208.06,The New India Assurance Company Limited,XC - FNCL,XC - NFC
261,NOCIL,0.0,1.0,0.0,0.0,36.78,NOCIL Limited,XC - MTRL,XC - CHM
262,NTPC,0.0,0.98,0.02,0.05,1610.13,NTPC Limited,XC - UTLT,XC - PGD
263,OFSS,0.0,0.948,0.052,0.11,269.52,Oracle Financial Services Software Limited,XC - INTH,XC - ITS
264,OLECTRA,0.0,1.0,0.0,0.0,38.81,Olectra Greentech Limited,XC - INDS,XC - CAG
265,ONGC,0.043,0.957,0.0,-0.043,1914.09,Oil & Natural Gas Corporation Limited,XC - ENRG,XC - ODE
266,ORIENTELEC,0.0,1.0,0.0,0.0,56.21,Orient Electric Limited,XC - CODI,XC - COD
267,PAGEIND,0.0,1.0,0.0,0.0,447.46,Page Industries Limited,XC - CODI,XC - TXT
268,PAYTM,0.0,0.936,0.064,0.127,352.14,One 97 Communications Limited,XC - INTH,XC - INT
269,PERSISTENT,0.0,0.92,0.08,0.133,350.66,Persistent Systems Limited,XC - INTH,XC - ITS
270,PETRONET,0.0,1.0,0.0,0.0,345.08,Petronet LNG Limited,XC - ENRG,XC - ODE
271,PGHH,0.0,0.726,0.274,0.494,439.39,Procter & Gamble Hygiene and Health Care Limited,XC - COST,XC - HPP
272,PHOENIXLTD,0.0,1.0,0.0,0.0,244.62,The Phoenix Mills Limited,XC - RLES,XC - REM
273,PIDILITIND,0.0,0.931,0.069,0.105,1210.98,Pidilite Industries Limited,XC - MTRL,XC - CHM
274,PIIND,0.0,1.0,0.0,0.0,460.56,PI Industries Limited,XC - MTRL,XC - FRT
275,PNB,0.0,1.0,0.0,0.0,611.11,Punjab National Bank,XC - FNCL,XC - PSU
276,PNBHOUSING,0.0,0.955,0.045,0.088,93.92,PNB Housing Finance Limited,XC - FNCL,XC - NFC
277,PNCINFRA,0.0,0.829,0.171,0.191,81.72,PNC Infratech Limited,XC - INDS,XC - CNS
278,POLICYBZR,0.0,1.0,0.0,0.0,189.34,PB Fintech Limited,XC - INTH,XC - INT
279,POLYCAB,0.0,0.97,0.03,0.055,421.84,Polycab India Limited,XC - INDS,XC - CAG
280,POLYMED,0.0,1.0,0.0,0.0,82.82,Poly Medicure Limited,XC - HECA,XC - HCS
281,POONAWALLA,0.0,0.963,0.037,0.064,231.37,Poonawalla Fincorp Limited,XC - FNCL,XC - NFC
282,POWERGRID,0.0,1.0,0.0,0.0,1541.23,Power Grid Corporation of India Limited,XC - UTLT,XC - PGD
283,POWERINDIA,0.183,0.476,0.341,0.25,132.67,Hitachi Energy India Limited,XC - INDS,XC - CAG
284,PRAJIND,0.0,1.0,0.0,0.0,62.66,Praj Industries Limited,XC - INDS,XC - CAG
285,PRIVISCL,0.0,0.917,0.083,0.136,41.06,Privi Speciality Chemicals Limited,XC - MTRL,XC - CHM
286,PRSMJOHNSN,0.0,1.0,0.0,0.0,53.1,Prism Johnson Limited,XC - MTRL,XC - CMT
287,PVR,0.0,1.0,0.0,0.0,103.02,PVR Limited,XC - COSE,XC - MDA
288,RADICO,0.0,1.0,0.0,0.0,137.55,Radico Khaitan Limited,XC - COST,XC - FOP
289,RAJESHEXPO,0.0,0.888,0.112,0.247,253.01,Rajesh Exports Limited,XC - CODI,XC - RTL
290,RALLIS,0.044,0.861,0.095,0.083,42.17,Rallis India Limited,XC - MTRL,XC - FRT
291,RAMCOCEM,0.0,1.0,0.0,0.0,160.4,The Ramco Cements Limited,XC - MTRL,XC - CMT
292,RAYMOND,0.124,0.876,0.0,-0.159,101.66,Raymond Limited,XC - CODI,XC - TXT
293,RBLBANK,0.042,0.922,0.035,-0.026,96.38,RBL Bank Limited,XC - FNCL,XC - PVT
294,RCF,0.0,1.0,0.0,0.0,67.47,Rashtriya Chemicals and Fertilizers Limited,XC - MTRL,XC - FRT
295,RECLTD,0.0,1.0,0.0,0.0,323.62,REC Limited,XC - FNCL,XC - NFC
296,REDINGTON,0.0,1.0,0.0,0.0,141.93,Redington Limited,XC - INTH,XC - ITS
297,RELAXO,0.0,0.928,0.072,0.099,203.47,Relaxo Footwears Limited,XC - CODI,XC - COD
298,RELIANCE,0.024,0.855,0.121,0.17,16345.07,Reliance Industries Limited,XC - ENRG,XC - REF
299,RENUKA,0.0,1.0,0.0,0.0,113.55,Shree Renuka Sugars Limited,XC - COST,XC - SGR
300,RHIM,0.0,1.0,0.0,0.0,138.94,RHI MAGNESITA INDIA LIMITED,XC - MTRL,XC - MTL
301,RITES,0.0,1.0,0.0,0.0,83.02,RITES Limited,XC - INDS,XC - CNS
302,ROSSARI,0.0,1.0,0.0,0.0,39.55,Rossari Biotech Limited,XC - MTRL,XC - CHM
303,ROUTE,0.0,0.822,0.178,0.263,76.63,ROUTE MOBILE LIMITED,XC - INTH,XC - INT
304,RTNINDIA,0.0,1.0,0.0,0.0,61.86,RattanIndia Enterprises Limited,XC - UTLT,XC - PGD
305,RVNL,0.025,0.975,0.0,-0.055,157.31,Rail Vikas Nigam Limited,XC - INDS,XC - CNS
306,SANOFI,0.11,0.786,0.105,-0.013,129.59,Sanofi India Limited,XC - HECA,XC - PHR
307,SAPPHIRE,0.0,1.0,0.0,0.0,82.89,Sapphire Foods India Limited,XC - COST,XC - FOP
308,SBICARD,0.0,0.903,0.097,0.206,704.55,SBI Cards and Payment Services Limited,XC - FNCL,XC - NFC
309,SBILIFE,0.0,0.939,0.061,0.11,1274.31,SBI Life Insurance Company Limited,XC - FNCL,XC - NFC
310,SBIN,0.0,0.94,0.06,0.092,5304.34,State Bank of India,XC - FNCL,XC - PSU
311,SCHAEFFLER,0.0,1.0,0.0,0.0,415.24,Schaeffler India Limited,XC - CODI,XC - ANC
312,SFL,0.0,1.0,0.0,0.0,120.17,Sheela Foam Limited,XC - CODI,XC - COD
313,SHARDACROP,0.0,1.0,0.0,0.0,44.13,Sharda Cropchem Limited,XC - MTRL,XC - FRT
314,SHOPERSTOP,0.359,0.585,0.055,-0.178,70.8,Shoppers Stop Limited,XC - CODI,XC - RTL
315,SHREECEM,0.0,1.0,0.0,0.0,815.73,SHREE CEMENT LIMITED,XC - MTRL,XC - CMT
316,SHRIRAMFIN,0.0,0.968,0.032,0.045,473.76,Shriram Finance Limited,XC - FNCL,XC - NFC
317,SHYAMMETL,0.0,0.769,0.231,0.273,80.92,Shyam Metalics and Energy Limited,XC - MTRL,XC - MTL
318,SIEMENS,0.0,1.0,0.0,0.0,1081.89,Siemens Limited,XC - INDS,XC - CAG
319,SJVN,0.0,0.946,0.054,0.134,134.2,SJVN Limited,XC - UTLT,XC - PGD
320,SKFINDIA,0.0,0.858,0.142,0.25,219.91,SKF India Limited,XC - CODI,XC - ANC
321,SOBHA,0.0,0.923,0.077,0.113,56.12,Sobha Limited,XC - RLES,XC - REM
322,SOLARINDS,0.0,1.0,0.0,0.0,371.13,Solar Industries India Limited,XC - MTRL,XC - CHM
323,SONACOMS,0.0,0.962,0.038,0.082,253.05,Sona BLW Precision Forgings Limited,XC - CODI,XC - ANC
324,SONATSOFTW,0.0,1.0,0.0,0.0,87.52,Sonata Software Limited,XC - INTH,XC - ITS
325,SPARC,0.0,0.778,0.222,0.25,55.12,Sun Pharma Advanced Research Company Limited,XC - HECA,XC - PHR
326,STARHEALTH,0.205,0.795,0.0,-0.477,298.63,Star Health and Allied Insurance Company Limited,XC - FNCL,XC - NFC
327,STLTECH,0.0,1.0,0.0,0.0,71.97,Sterlite Technologies Limited,XC - COSE,XC - TEL
328,SUNDRMFAST,0.0,0.824,0.176,0.227,206.4,Sundram Fasteners Limited,XC - CODI,XC - ANC
329,SUNPHARMA,0.0,1.0,0.0,0.0,2496.99,Sun Pharmaceutical Industries Limited,XC - HECA,XC - PHR
330,SUNTECK,0.0,1.0,0.0,0.0,55.2,Sunteck Realty Limited,XC - RLES,XC - REM
331,SUPRAJIT,0.0,1.0,0.0,0.0,44.59,Suprajit Engineering Limited,XC - CODI,XC - ANC
332,SUPREMEIND,0.0,0.455,0.545,0.557,304.59,Supreme Industries Limited,XC - INDS,XC - CAG
333,SUZLON,0.0,0.656,0.344,0.273,97.21,Suzlon Energy Limited,XC - INDS,XC - CAG
334,SWANENERGY,0.0,0.741,0.259,0.273,96.01,Swan Energy Limited,XC - CODI,XC - TXT
335,SWSOLAR,0.0,0.948,0.052,0.068,51.19,Sterling and Wilson Renewable Energy Limited,XC - UTLT,XC - PGD
336,SYMPHONY,0.242,0.526,0.232,-0.026,67.02,Symphony Limited,XC - CODI,XC - COD
337,SYNGENE,0.0,1.0,0.0,0.0,233.25,Syngene International Limited,XC - HECA,XC - PHR
338,TANLA,0.0,1.0,0.0,0.0,91.08,Tanla Platforms Limited,XC - INTH,XC - ITS
339,TATACHEM,0.0,1.0,0.0,0.0,247.57,Tata Chemicals Limited,XC - MTRL,XC - CHM
340,TATACOFFEE,0.0,0.951,0.049,0.088,40.2,Tata Coffee Limited,XC - COST,XC - FOP
341,TATACOMM,0.0,0.919,0.081,0.147,377.51,Tata Communications Limited,XC - COSE,XC - TEL
342,TATACONSUM,0.1,0.804,0.095,-0.013,688.3,TATA CONSUMER PRODUCTS LIMITED,XC - COST,XC - FOP
343,TATAELXSI,0.073,0.857,0.07,-0.009,417.18,Tata Elxsi Limited,XC - INTH,XC - ITS
344,TATAINVEST,0.04,0.877,0.083,0.083,112.47,Tata Investment Corporation Limited,XC - FNCL,XC - NFC
345,TATAMOTORS,0.013,0.987,0.0,-0.012,1402.1,Tata Motors Limited,XC - CODI,XC - ATO
346,TATAPOWER,0.023,0.907,0.07,0.081,657.76,Tata Power Company Limited,XC - UTLT,XC - PGD
347,TATASTEEL,0.027,0.909,0.065,0.045,1471.43,TATA Steel Limited,XC - MTRL,XC - MTL
348,TCI,0.184,0.64,0.176,-0.026,47.92,Transport Corporation of India Limited,XC - INDS,XC - LGT
349,TCIEXP,0.11,0.786,0.105,-0.013,69.37,TCI Express Limited,XC - INDS,XC - LGT
350,TCS,0.0,0.857,0.143,0.243,12573.6,Tata Consultancy Services Limited,XC - INTH,XC - ITS
351,TEAMLEASE,0.0,1.0,0.0,0.0,41.69,Teamlease Services Limited,XC - INTH,XC - ITS
352,TECHM,0.0,0.94,0.06,0.119,1042.53,Tech Mahindra Limited,XC - INTH,XC - ITS
353,TIMKEN,0.219,0.571,0.21,-0.026,234.17,Timken India Limited,XC - CODI,XC - ANC
354,TITAN,0.0,0.852,0.148,0.162,2104.72,Titan Company Limited,XC - CODI,XC - COD
355,TORNTPHARM,0.0,1.0,0.0,0.0,536.32,Torrent Pharmaceuticals Limited,XC - HECA,XC - PHR
356,TORNTPOWER,0.223,0.777,0.0,-0.318,227.69,Torrent Power Limited,XC - UTLT,XC - PGD
357,TRENT,0.121,0.676,0.203,0.111,427.56,Trent Limited,XC - CODI,XC - RTL
358,TRIDENT,0.0,1.0,0.0,0.0,167.66,Trident Limited,XC - CODI,XC - TXT
359,TRITURBINE,0.0,1.0,0.0,0.0,89.15,Triveni Turbine Limited,XC - INDS,XC - CAG
360,TRIVENI,0.0,1.0,0.0,0.0,66.43,Triveni Engineering & Industries Limited,XC - INDS,XC - CAG
361,TTKPRESTIG,0.0,0.912,0.088,0.089,109.19,TTK Prestige Limited,XC - CODI,XC - COD
362,TV18BRDCST,0.0,0.951,0.049,0.088,59.49,TV18 Broadcast Limited,XC - COSE,XC - MDA
363,TVSMOTOR,0.0,0.975,0.025,0.049,467.41,TVS Motor Company Limited,XC - CODI,XC - ATO
364,UBL,0.133,0.474,0.393,0.407,416.74,United Breweries Limited,XC - COST,XC - FOP
365,UCOBANK,0.0,0.927,0.073,0.123,352.1,UCO Bank,XC - FNCL,XC - PSU
366,ULTRACEMCO,0.0,0.959,0.041,0.073,1965.82,UltraTech Cement Limited,XC - MTRL,XC - CMT
367,UNIONBANK,0.0,0.91,0.09,0.17,551.22,Union Bank of India,XC - FNCL,XC - PSU
368,UNOMINDA,0.0,1.0,0.0,0.0,286.02,UNO Minda Limited,XC - CODI,XC - ANC
369,VAIBHAVGBL,0.0,1.0,0.0,0.0,49.37,Vaibhav Global Limited,XC - CODI,XC - RTL
370,VARROC,0.0,1.0,0.0,0.0,43.82,Varroc Engineering Limited,XC - CODI,XC - ANC
371,VEDL,0.0,0.741,0.259,0.273,1225.37,Vedanta Limited,XC - MTRL,XC - MTL
372,VGUARD,0.0,0.92,0.08,0.099,108.53,V-Guard Industries Limited,XC - INDS,XC - CAG
373,VINATIORGA,0.045,0.955,0.0,-0.049,195.08,Vinati Organics Limited,XC - MTRL,XC - CHM
374,VIPIND,0.11,0.499,0.391,0.295,99.97,VIP Industries Limited,XC - CODI,XC - COD
375,VMART,0.0,1.0,0.0,0.0,54.19,V-Mart Retail Limited,XC - CODI,XC - RTL
376,VTL,0.074,0.926,0.0,-0.106,89.8,Vardhman Textiles Limited,XC - CODI,XC - TXT
377,WELCORP,0.0,1.0,0.0,0.0,58.95,Welspun Corp Limited,XC - MTRL,XC - MTL
378,WELSPUNIND,0.0,0.916,0.084,0.134,69.95,Welspun India Limited,XC - CODI,XC - TXT
379,WIPRO,0.0,0.962,0.038,0.063,2230.99,Wipro Limited,XC - INTH,XC - ITS
380,YESBANK,0.0,0.613,0.387,0.433,523.31,Yes Bank Limited,XC - FNCL,XC - PVT
381,ZENSARTECH,0.0,1.0,0.0,0.0,51.61,Zensar Technologies Limited,XC - INTH,XC - ITS
382,ZYDUSLIFE,0.031,0.795,0.174,0.269,442.43,Zydus Lifesciences Limited,XC - HECA,XC - PHR
383,ZYDUSWELL,0.092,0.518,0.389,0.431,91.79,Zydus Wellness Limited,XC - COST,XC - HPP
