,Symbol,Negative,Neutral,Positive,Sentiment Score,MCap (Billion),Company Name,Sector,Industry
49,BDL,0.0,0.741,0.259,0.273,170.19,Bharat Dynamics Limited,XC - INDS,XC - CAG
50,BEL,0.0,1.0,0.0,0.0,735.73,Bharat Electronics Limited,XC - INDS,XC - CAG
51,BHARATFORG,0.0,0.789,0.211,0.494,405.27,Bharat Forge Limited,XC - CODI,XC - ANC
52,BHARTIARTL,0.049,0.951,0.0,-0.045,4322.52,Bharti Airtel Limited,XC - COSE,XC - TEL
53,BHEL,0.0,0.88,0.12,0.113,273.52,Bharat Heavy Electricals Limited,XC - INDS,XC - CAG
54,BIOCON,0.0,0.803,0.197,0.267,295.53,Biocon Limited,XC - HECA,XC - PHR
55,BIRLACORPN,0.0,1.0,0.0,0.0,72.14,Birla Corporation Limited,XC - MTRL,XC - CMT
56,BLUEDART,0.0,1.0,0.0,0.0,163.93,Blue Dart Express Limited,XC - INDS,XC - LGT
57,BLUESTARCO,0.082,0.774,0.144,0.191,120.01,Blue Star Limited,XC - CODI,XC - COD
58,BORORENEW,0.147,0.783,0.07,-0.115,61.94,BOROSIL RENEWABLES LIMITED,XC - INDS,XC - CAG
59,BOSCHLTD,0.0,1.0,0.0,0.0,502.85,Bosch Limited,XC - CODI,XC - ANC
60,BPCL,0.1,0.804,0.096,-0.013,756.96,Bharat Petroleum Corporation Limited,XC - ENRG,XC - REF
61,BRIGADE,0.0,1.0,0.0,0.0,105.87,Brigade Enterprises Limited,XC - RLES,XC - REM
62,BSE,0.0,0.882,0.118,0.238,72.76,BSE Limited,XC - FNCL,XC - NFC
63,BSOFT,0.0,0.824,0.176,0.216,83.71,BIRLASOFT LIMITED,XC - INTH,XC - ITS
64,CAMS,0.0,1.0,0.0,0.0,112.76,Computer Age Management Services Limited,XC - INTH,XC - INT
65,CANBK,0.0,0.916,0.084,0.117,580.79,Canara Bank,XC - FNCL,XC - PSU
66,CANFINHOME,0.0,1.0,0.0,0.0,75.05,Can Fin Homes Limited,XC - FNCL,XC - NFC
67,CAPLIPOINT,0.2,0.609,0.191,-0.026,52.6,Caplin Point Laboratories Limited,XC - HECA,XC - PHR
68,CARBORUNIV,0.0,1.0,0.0,0.0,177.39,Carborundum Universal Limited,XC - INDS,XC - CAG
69,CASTROLIND,0.112,0.816,0.072,-0.07,117.16,Castrol India Limited,XC - ENRG,XC - REF
70,CCL,0.034,0.955,0.011,-0.035,71.8,CCL Products (India) Limited,XC - COST,XC - FOP
71,CEATLTD,0.0,1.0,0.0,0.0,64.41,CEAT Limited,XC - CODI,XC - ANC
72,CENTRALBK,0.0,0.919,0.081,0.157,263.03,Central Bank of India,XC - FNCL,XC - PSU
73,CENTURYTEX,0.0,1.0,0.0,0.0,78.05,Century Textiles & Industries Limited,XC - CODI,XC - TXT
74,CERA,0.0,1.0,0.0,0.0,70.94,Cera Sanitaryware Limited,XC - INDS,XC - CNS
75,CGCL,0.0,1.0,0.0,0.0,133.61,Capri Global Capital Limited,XC - FNCL,XC - NFC
76,CGPOWER,0.04,0.847,0.112,0.083,457.14,CG Power and Industrial Solutions Limited,XC - INDS,XC - CAG
77,CHALET,0.0,1.0,0.0,0.0,73.21,Chalet Hotels Limited,XC - CODI,XC - HSP
78,CHAMBLFERT,0.0,1.0,0.0,0.0,124.61,Chambal Fertilizers & Chemicals Limited,XC - MTRL,XC - FRT
79,CHEMPLASTS,0.0,1.0,0.0,0.0,70.83,Chemplast Sanmar Limited,XC - MTRL,XC - CHM
80,CHOLAFIN,0.0,1.0,0.0,0.0,596.22,Cholamandalam Investment and Finance Company Limited,XC - FNCL,XC - NFC
81,CIPLA,0.0,0.937,0.063,0.102,857.3,Cipla Limited,XC - HECA,XC - PHR
